country,publications,offices_used,at_own_office,via_pct,own_office_pct,pct_route_pct,abroad_pct,mean_offices_per_cell
China,7770470,64,7124741.0,299782.0,91.6899621258431,3.8579648335300183,4.452073040626886,27.58888888888889
Japan,2178689,64,1034387.0,311418.0,47.47749678820612,14.293825323394023,38.22867788839986,26.627777777777776
"Korea, Rep.",1142740,58,707961.0,100132.0,61.9529376761118,8.762448150935471,29.28461417295273,19.58888888888889
Singapore,38714,51,1535.0,7814.0,3.9649739112465774,20.183912796404403,75.85111329234903,14.438888888888888
Malaysia,5244,33,2037.0,993.0,38.84439359267734,18.93592677345538,42.21967963386728,7.942857142857143
Thailand,3565,39,0.0,793.0,0.0,22.24403927068724,77.75596072931276,6.815476190476191
Philippines,1467,19,1097.0,115.0,74.77845944103613,7.839127471029312,17.382413087934555,2.4216867469879517
Viet Nam,562,22,0.0,164.0,0.0,29.181494661921707,70.8185053380783,2.3958333333333335
Indonesia,181,21,0.0,51.0,0.0,28.176795580110497,71.8232044198895,1.6853932584269662
Brunei Darussalam,45,9,0.0,13.0,0.0,28.88888888888889,71.11111111111111,1.4642857142857142
Cambodia,32,11,0.0,3.0,0.0,9.375,90.625,1.8666666666666667
Lao PDR,13,5,0.0,6.0,0.0,46.15384615384615,53.84615384615385,1.3
Myanmar,3,2,0.0,0.0,0.0,0.0,100.0,1.0
