,publications,domestic,pct_layer,upper,lower,labelled_max,origin_leader_office,dup_origin_year,dup_origin_field,dup_origin_only,domestic_share,pct_share,duplication_factor,labelled_dup,is_epc,home_is_origin_leader,domestic_measurable,H,identity,residual,on_identity,DH
CH,152641.0,4739.0,25883.0,152641.0,34048.0,31196.0,EP,4.881231812222187,4.503348576486207,4.892967047057315,3.104670435859304,14.498330756648967,4.483112077067669,4.892967047057315,True,False,True,0.03104670435859304,32.209537877189284,27.726425800121614,False,0.13918585526315788
LU,11539.0,631.0,1808.0,11539.0,2597.0,2264.0,US,5.096731448763251,4.711719069007758,5.096731448763251,5.468411474131207,13.546115231887315,4.443203696572969,5.096731448763251,True,False,True,0.054684114741312066,18.286846275752776,13.843642579179807,False,0.24297266076241814
NO,18911.0,2800.0,3811.0,18911.0,4348.0,3498.0,US,5.406232132647227,4.4855313092979125,5.406232132647227,14.806197451218868,16.7722911715518,4.349356025758969,5.406232132647227,True,False,True,0.14806197451218867,6.753928571428572,2.4045725456696028,False,0.6439742410303587
BE,40718.0,3950.0,6938.0,40718.0,9915.0,9186.0,EP,4.432614848682778,4.162117959726055,4.432614848682778,9.70086939437104,14.558502601980862,4.106707009581442,4.432614848682778,True,False,True,0.0970086939437104,10.308354430379747,6.201647420798305,False,0.3983862834089763
AG,1592.0,0.0,322.0,1592.0,388.0,276.0,JP,4.710059171597633,4.898461538461539,5.768115942028985,,16.823406478578892,4.103092783505154,5.768115942028985,False,False,False,,,,False,
NL,111904.0,8403.0,22295.0,111904.0,27444.0,24447.0,EP,4.567510204081633,4.1135127187178355,4.5774123614349405,7.509114955676294,16.613387581129516,4.077539717242384,4.5774123614349405,True,False,True,0.07509114955676294,13.317148637391409,9.239608920149024,False,0.30618714473108877
AT,42488.0,5501.0,7881.0,42488.0,10692.0,10245.0,EP,4.147193753050268,4.01170805400812,4.147193753050268,12.947185087554132,15.646528618793305,3.973812196034418,4.147193753050268,True,False,True,0.12947185087554133,7.7236866024359205,3.7498744064015024,False,0.5144968200523756
SE,89810.0,4724.0,20829.0,89810.0,23165.0,21621.0,US,4.1195358011100405,3.9196089556147165,4.153831922667777,5.259993319229484,18.82609206518497,3.8769695661558385,4.153831922667777,True,False,True,0.05259993319229484,19.01143099068586,15.13446142453002,False,0.20392834016835742
NZ,8477.0,407.0,1507.0,8477.0,2192.0,2031.0,US,4.173806006893156,3.9854254818993886,4.173806006893156,4.801226849121151,15.09415064102564,3.8672445255474455,4.173806006893156,False,False,True,0.04801226849121151,20.82800982800983,16.960765302462384,False,0.18567518248175183
ES,30940.0,6327.0,7037.0,30940.0,8073.0,7282.0,EP,4.126984126984127,3.9464285714285716,4.24883273825872,20.449256625727212,18.529636358848776,3.8325281803542675,4.24883273825872,True,False,True,0.20449256625727213,4.8901533112059425,1.057625130851675,False,0.7837235228539576
FI,38781.0,3620.0,8955.0,38781.0,10217.0,9275.0,EP,4.14991974317817,3.901901599758527,4.181239892183289,9.334467909543333,18.75942684766214,3.795732602525203,4.181239892183289,True,False,True,0.09334467909543333,10.712983425414365,6.917250822889161,False,0.35431144171478907
GB,153093.0,24781.0,29725.0,153093.0,40494.0,36070.0,US,4.244330468533407,3.8678406306055937,4.244330468533407,16.18689293436016,16.259339889945192,3.7806341680248927,4.244330468533407,True,False,True,0.1618689293436016,6.177837859650539,2.3972036916256467,False,0.6119672050180274
