,sum_incl_star,sum_excl_star,cellwise_leading,rank_sum_incl_star,rank_sum_excl_star,rank_cellwise_leading,rank_change_1_to_3,abs_rank_change_1_to_3,families,name
CN,7764454.0,7464673.0,7121611.0,1,1,1,0,0,6985057.0,China
US,2402740.0,2082902.0,1024044.0,2,2,3,1,1,,United States
JP,2175903.0,1864485.0,1033673.0,3,3,2,-1,1,987659.0,Japan
KR,1138332.0,1038200.0,706664.0,4,4,4,0,0,740595.0,"Korea, Rep."
DE,703320.0,606721.0,206183.0,5,5,5,0,0,,Germany
FR,270130.0,230545.0,66820.0,6,6,8,2,2,,France
GB,182818.0,153093.0,40494.0,7,7,9,2,2,,United Kingdom
CH,178524.0,152641.0,34048.0,8,8,11,3,3,,Switzerland
IN,124235.0,114893.0,93781.0,10,9,7,-3,3,,India
NL,134199.0,111904.0,27444.0,9,10,12,3,3,,Netherlands
RU,109991.0,105030.0,96488.0,13,11,6,-7,7,,Russia
IT,113801.0,96624.0,27153.0,11,12,13,2,2,,Italy
CA,103651.0,90459.0,35804.0,14,13,10,-4,4,,Canada
SE,110639.0,89810.0,23165.0,12,14,14,2,2,,Sweden
IL,60821.0,50671.0,19886.0,15,15,17,2,2,,Israel
AU,53833.0,44915.0,14282.0,16,16,19,3,3,,Australia
AT,50369.0,42488.0,10692.0,17,17,21,4,4,,Austria
BE,47656.0,40718.0,9915.0,19,18,24,5,5,,Belgium
FI,47736.0,38781.0,10217.0,18,19,22,4,4,,Finland
DK,45551.0,37993.0,10073.0,20,20,23,3,3,,Denmark
ES,37977.0,30940.0,8073.0,22,21,26,4,4,,Spain
SG,38633.0,30819.0,11855.0,21,22,20,-1,1,15141.0,Singapore
TR,36411.0,29171.0,22137.0,23,23,15,-8,8,,Türkiye
BR,31459.0,28404.0,22058.0,24,24,16,-8,8,,Brazil
PL,25541.0,23958.0,17853.0,26,25,18,-8,8,,Poland
