,sum_incl_star,sum_excl_star,cellwise_leading,rank_sum_incl_star,rank_sum_excl_star,rank_cellwise_leading,rank_change_1_to_3,abs_rank_change_1_to_3,families,name
CH,178524.0,152641.0,34048.0,8,8,11,3,3,,Switzerland
LU,13347.0,11539.0,2597.0,29,29,33,4,4,,Luxembourg
NO,22722.0,18911.0,4348.0,27,27,28,1,1,,Norway
BE,47656.0,40718.0,9915.0,19,18,24,5,5,,Belgium
AG,1914.0,1592.0,388.0,50,52,65,15,15,,Antigua and Barbuda
NL,134199.0,111904.0,27444.0,9,10,12,3,3,,Netherlands
AT,50369.0,42488.0,10692.0,17,17,21,4,4,,Austria
SE,110639.0,89810.0,23165.0,12,14,14,2,2,,Sweden
NZ,9984.0,8477.0,2192.0,31,31,36,5,5,,New Zealand
ES,37977.0,30940.0,8073.0,22,21,26,4,4,,Spain
FI,47736.0,38781.0,10217.0,18,19,22,4,4,,Finland
GB,182818.0,153093.0,40494.0,7,7,9,2,2,,United Kingdom
DK,45551.0,37993.0,10073.0,20,20,23,3,3,,Denmark
ZA,4520.0,3237.0,884.0,39,43,48,9,9,,South Africa
IT,113801.0,96624.0,27153.0,11,12,13,2,2,,Italy
FR,270130.0,230545.0,66820.0,6,6,8,2,2,,France
PT,5569.0,4486.0,1305.0,35,36,43,8,8,,Portugal
TH,3559.0,2766.0,835.0,44,44,50,6,6,909.0,Thailand
AU,53833.0,44915.0,14282.0,16,16,19,3,3,,Australia
DE,703320.0,606721.0,206183.0,5,5,5,0,0,,Germany
IE,27374.0,23800.0,8208.0,25,26,25,0,0,,Ireland
MT,2082.0,1816.0,656.0,49,49,56,7,7,,Malta
HU,4239.0,3555.0,1293.0,42,41,44,2,2,,Hungary
BB,5091.0,4721.0,1739.0,37,35,40,3,3,,Barbados
SG,38633.0,30819.0,11855.0,21,22,20,-1,1,15141.0,Singapore
MC,654.0,563.0,220.0,68,68,68,0,0,,Monaco
IL,60821.0,50671.0,19886.0,15,15,17,2,2,,Israel
LI,6932.0,5573.0,2195.0,34,34,35,1,1,,Liechtenstein
CA,103651.0,90459.0,35804.0,14,13,10,-4,4,,Canada
EE,1167.0,938.0,377.0,58,57,66,8,8,,Estonia
CY,1909.0,1686.0,683.0,51,50,55,4,4,,Cyprus
SI,2902.0,2417.0,1047.0,46,47,46,0,0,,Slovenia
CZ,7400.0,6387.0,2770.0,33,33,32,-1,1,,Czechia
CL,4590.0,3650.0,1584.0,38,40,42,4,4,,Chile
AE,2369.0,1883.0,839.0,48,48,49,1,1,,United Arab Emirates
IS,1132.0,918.0,421.0,59,58,63,4,4,,Iceland
MO,747.0,723.0,333.0,66,65,67,1,1,,Macao SAR
GR,4323.0,3804.0,1816.0,41,39,39,-2,2,,Greece
HK,11421.0,8829.0,4277.0,30,30,30,0,0,,Hong Kong SAR
US,2402740.0,2082902.0,1024044.0,2,2,3,1,1,,United States
SK,1890.0,1661.0,826.0,52,51,51,-1,1,,Slovakia
MY,5241.0,4248.0,2120.0,36,38,37,1,1,2123.0,Malaysia
BG,1605.0,1361.0,720.0,53,53,53,0,0,,Bulgaria
LT,1293.0,1109.0,592.0,57,56,57,0,0,,Lithuania
LV,935.0,767.0,424.0,61,61,62,1,1,,Latvia
JP,2175903.0,1864485.0,1033673.0,3,3,2,-1,1,987659.0,Japan
SA,15258.0,11885.0,6880.0,28,28,27,-1,1,,Saudi Arabia
MX,8445.0,7317.0,4313.0,32,32,29,-3,3,,Mexico
BY,731.0,637.0,395.0,67,67,64,-3,3,,Belarus
HR,900.0,758.0,475.0,63,62,61,-2,2,,Croatia
AR,2891.0,2708.0,1725.0,47,45,41,-6,6,,Argentina
PE,915.0,748.0,498.0,62,64,60,-2,2,,Peru
KR,1138332.0,1038200.0,706664.0,4,4,4,0,0,740595.0,"Korea, Rep."
RS,957.0,836.0,587.0,60,59,58,-2,2,,Serbia
UA,3384.0,2701.0,1937.0,45,46,38,-7,7,,Ukraine
CO,3877.0,3326.0,2426.0,43,42,34,-9,9,,Colombia
PL,25541.0,23958.0,17853.0,26,25,18,-8,8,,Poland
TR,36411.0,29171.0,22137.0,23,23,15,-8,8,,Türkiye
IR,1565.0,713.0,545.0,54,66,59,5,5,,Iran
BR,31459.0,28404.0,22058.0,24,24,16,-8,8,,Brazil
MA,1378.0,1145.0,901.0,56,55,47,-9,9,,Morocco
IN,124235.0,114893.0,93781.0,10,9,7,-3,3,,India
PH,1467.0,1352.0,1160.0,55,54,45,-10,10,1649.0,Philippines
RO,4467.0,4299.0,3730.0,40,37,31,-9,9,,Romania
RU,109991.0,105030.0,96488.0,13,11,6,-7,7,,Russia
MD,805.0,772.0,721.0,65,60,52,-13,13,,Moldova
TN,807.0,757.0,708.0,64,63,54,-10,10,,Tunisia
CN,7764454.0,7464673.0,7121611.0,1,1,1,0,0,6985057.0,China
