year,origin,families,country,foreign_oriented,families_grant_year
2000,BN,0.0,Brunei Darussalam,0.0,1.0
2001,BN,2.0,Brunei Darussalam,2.0,0.0
2002,BN,3.0,Brunei Darussalam,3.0,0.0
2003,BN,3.0,Brunei Darussalam,3.0,0.0
2004,BN,10.0,Brunei Darussalam,10.0,1.0
2005,BN,29.0,Brunei Darussalam,29.0,4.0
2006,BN,9.0,Brunei Darussalam,9.0,7.0
2007,BN,13.0,Brunei Darussalam,13.0,7.0
2008,BN,5.0,Brunei Darussalam,5.0,7.0
2009,BN,17.0,Brunei Darussalam,17.0,12.0
2010,BN,16.0,Brunei Darussalam,16.0,10.0
2011,BN,8.0,Brunei Darussalam,8.0,8.0
2012,BN,8.0,Brunei Darussalam,6.0,9.0
2013,BN,7.0,Brunei Darussalam,7.0,9.0
2014,BN,14.0,Brunei Darussalam,14.0,3.0
2015,BN,3.0,Brunei Darussalam,3.0,7.0
2016,BN,18.0,Brunei Darussalam,17.0,5.0
2017,BN,11.0,Brunei Darussalam,11.0,7.0
2018,BN,4.0,Brunei Darussalam,3.0,10.0
2019,BN,3.0,Brunei Darussalam,2.0,4.0
2020,BN,1.0,Brunei Darussalam,1.0,10.0
2021,BN,2.0,Brunei Darussalam,2.0,1.0
2022,BN,0.0,Brunei Darussalam,0.0,2.0
2023,BN,0.0,Brunei Darussalam,,0.0
2000,KH,0.0,Cambodia,0.0,0.0
2001,KH,0.0,Cambodia,0.0,0.0
2002,KH,0.0,Cambodia,0.0,0.0
2003,KH,0.0,Cambodia,0.0,0.0
2004,KH,0.0,Cambodia,0.0,0.0
2005,KH,0.0,Cambodia,0.0,0.0
2006,KH,0.0,Cambodia,0.0,0.0
2007,KH,0.0,Cambodia,0.0,0.0
2008,KH,1.0,Cambodia,1.0,0.0
2009,KH,0.0,Cambodia,0.0,0.0
2010,KH,0.0,Cambodia,0.0,0.0
2011,KH,0.0,Cambodia,0.0,0.0
2012,KH,0.0,Cambodia,0.0,0.0
2013,KH,0.0,Cambodia,0.0,1.0
2014,KH,0.0,Cambodia,0.0,0.0
2015,KH,0.0,Cambodia,0.0,0.0
2016,KH,1.0,Cambodia,1.0,0.0
2017,KH,0.0,Cambodia,0.0,0.0
2018,KH,1.0,Cambodia,1.0,0.0
2019,KH,1.0,Cambodia,1.0,0.0
2020,KH,5.0,Cambodia,5.0,1.0
2021,KH,0.0,Cambodia,0.0,3.0
2022,KH,0.0,Cambodia,0.0,1.0
2023,KH,0.0,Cambodia,,0.0
2000,CN,23079.0,China,968.0,5924.0
2001,CN,27745.0,China,1319.0,6584.0
2002,CN,38704.0,China,1834.0,5827.0
2003,CN,53244.0,China,2387.0,11378.0
2004,CN,63504.0,China,3338.0,18107.0
2005,CN,85706.0,China,5596.0,20152.0
2006,CN,109273.0,China,6312.0,25849.0
2007,CN,133112.0,China,7835.0,30643.0
2008,CN,165770.0,China,8782.0,44668.0
2009,CN,201926.0,China,10249.0,64574.0
2010,CN,254577.0,China,11244.0,70988.0
2011,CN,339742.0,China,13352.0,103241.0
2012,CN,456492.0,China,16224.0,139709.0
2013,CN,591846.0,China,17511.0,148000.0
2014,CN,679503.0,China,19728.0,159970.0
2015,CN,827724.0,China,22761.0,239027.0
2016,CN,1032790.0,China,25546.0,297297.0
2017,CN,1239254.0,China,32081.0,318626.0
2018,CN,1371928.0,China,38028.0,339485.0
2019,CN,1226985.0,China,43953.0,356093.0
2020,CN,1419718.0,China,48399.0,436949.0
2021,CN,1449194.0,China,50957.0,579573.0
2022,CN,1517232.0,China,55223.0,696569.0
2023,CN,1608946.0,China,,816002.0
2000,ID,99.0,Indonesia,18.0,8.0
2001,ID,18.0,Indonesia,9.0,10.0
2002,ID,20.0,Indonesia,17.0,9.0
2003,ID,10.0,Indonesia,10.0,11.0
