Intellectual property right :Patent

Indicator :6a- Patent family by origin

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Brunei Darussalam","BN","Total","","2","3","3","10","29","9","13","5","17","16","8","8","7","14","3","18","11","4","3","1","2","","","",
"Cambodia","KH","Total","","","","","","","","","1","","","","","","","","1","","1","1","5","","","","",
"China","CN","Total","23079","27745","38704","53244","63504","85706","109273","133112","165770","201926","254577","339742","456492","591846","679503","827724","1032790","1239254","1371928","1226985","1419718","1449194","1517232","1608946","",
"Indonesia","ID","Total","99","18","20","10","19","17","18","16","15","18","16","22","29","27","17","21","15","12","15","24","18","12","18","150","",
"Japan","JP","Total","362484","361089","344678","337589","342115","339936","318815","305042","300219","268209","262898","259571","256380","241290","235136","228951","229360","228578","222301","212981","193705","182883","175789","182708","",
"Lao People's Democratic Republic","LA","Total","","","","","","","","2","","4","","6","1","","","1","1","","3","","1","","","1","",
"Malaysia","MY","Total","165","187","246","315","372","387","395","508","587","892","885","792","800","832","939","708","625","716","651","575","396","289","212","184","",
"Myanmar","MM","Total","","","","","","","1","","1","","","","","","","","1","1","","2","","2","1","","",
"Philippines","PH","Total","23","21","27","19","30","46","32","34","28","37","66","168","189","209","277","306","234","225","292","377","328","361","291","23","",
"Republic of Korea","KR","Total","71500","72108","75050","87281","101458","110450","112989","113211","115419","115901","119245","124103","129122","134429","137262","138148","134530","132736","137383","145634","153409","154242","149927","154341","",
"Singapore","SG","Total","716","796","801","994","1194","1388","1443","1363","1603","1516","1701","1877","2117","2373","2486","2453","2498","2504","2906","2948","3062","3189","3036","2929","",
"Thailand","TH","Total","47","32","53","66","57","61","62","83","65","73","87","94","92","95","132","167","202","151","189","189","173","201","157","151","",
"Viet Nam","VN","Total","","2","5","6","4","11","8","10","3","12","16","17","16","19","24","31","49","39","68","59","106","87","76","79","",
