Intellectual property right :Patent

Indicator :1 - Total patent applications (direct and PCT national phase entries)

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,Type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Brunei Darussalam","BN","Total","Total","","2","3","1","","2","","27","24","21","","","27","34","39","","21","18","27","23","10","5","1","","3",
"Brunei Darussalam","BN","Total","Resident","","","","","","","","","","","","","20","20","26","","16","8","26","8","5","2","","","1",
"Brunei Darussalam","BN","Total","Abroad","","2","3","1","","2","","27","24","21","35","12","7","14","13","5","5","10","1","15","5","3","1","2","2",
"Brunei Darussalam","BN","Total","Total (equivalent count)","","2","3","1","","2","","27","32","61","","","27","39","39","","21","18","27","23","10","5","1","","3",
"Brunei Darussalam","BN","Total","Abroad (equivalent count)","","2","3","1","","2","","27","32","61","51","12","7","19","13","5","5","10","1","15","5","3","1","2","2",
"Cambodia","KH","Total","Total","","","","","","","","","1","1","2","2","","1","5","4","6","","11","1","11","","20","23","11",
"Cambodia","KH","Total","Resident","","","","","","","","","","","","","","1","2","","3","","1","","","","","1","1",
"Cambodia","KH","Total","Abroad","1","","","","","","","","1","1","2","2","","","3","4","3","","10","1","11","5","20","22","10",
"Cambodia","KH","Total","Total (equivalent count)","","","","","","","","","1","1","2","2","","1","5","4","6","","11","1","11","","43","30","11",
"Cambodia","KH","Total","Abroad (equivalent count)","1","","","","","","","","1","1","2","2","","","3","4","3","","10","1","11","5","43","29","10",
"China","CN","Total","Total","26553","31430","41632","58987","69341","98291","129602","161616","204538","239625","306373","434246","560678","732944","835516","1009158","1256221","1304417","1458664","1327180","1439894","1538690","1584354","1642643","1796738",
"China","CN","Total","Resident","25346","30038","39806","56769","65786","93485","122318","153060","194579","229096","293066","415829","535313","704936","801135","968252","1204981","1245709","1393815","1243568","1344817","1427845","1464605","1522292","1672001",
"China","CN","Total","Abroad","1207","1392","1826","2218","3555","4806","7284","8556","9959","10529","13307","18417","25365","28008","34381","40906","51240","58708","64849","83612","95077","110845","119749","120351","124737",
"China","CN","Total","Total (equivalent count)","26568","31445","41662","58987","69420","98455","129768","161819","204827","239798","306661","434598","561105","733739","837275","1010012","1256920","1305507","1459652","1328131","1441281","1539767","1586029","1644392","1798838",
"China","CN","Total","Abroad (equivalent count)","1222","1407","1856","2218","3634","4970","7450","8759","10248","10702","13595","18769","25792","28803","36140","41760","51939","59798","65837","84563","96464","111922","121424","122100","126837",
"Indonesia","ID","Total","Total","175","220","283","230","252","257","312","325","411","451","576","599","","755","771","1177","1155","2317","1451","3141","1358","1447","1609","1725","2164",
"Indonesia","ID","Total","Resident","157","212","234","201","227","235","288","284","386","415","508","533","","663","702","1058","1101","2271","1407","3093","1309","1397","1549","1682","1931",
"Indonesia","ID","Total","Abroad","18","8","49","29","25","22","24","41","25","36","68","66","72","92","69","119","54","46","44","48","49","50","60","43","233",
"Indonesia","ID","Total","Total (equivalent count)","175","220","283","230","252","257","312","325","411","451","576","599","","755","771","1177","1155","2317","1451","3141","1358","1447","1609","1725","2164",
"Indonesia","ID","Total","Abroad (equivalent count)","18","8","49","29","25","22","24","41","25","36","68","66","72","92","69","119","54","46","44","48","49","50","60","43","233",
"Japan","JP","Total","Total","487575","505874","485155","483923","509719","529424","517242","509454","509721","461800","466030","472516","486281","469722","463361","455392","454076","458235","457610","453122","422684","412545","406113","414599","420991",
"Japan","JP","Total","Resident","387364","386767","369458","358184","368416","367960","347060","333498","330110","295315","290081","287580","287013","271731","265959","258839","260244","260292","253630","245372","227348","222452","218813","228936","237169",
"Japan","JP","Total","Abroad","100211","119107","115697","125739","141303","161464","170182","175956","179611","166485","175949","184936","199268","197991","197402","196553","193832","197943","203980","207750","195336","190093","187300","185663","183822",
"Japan","JP","Total","Total (equivalent count)","487665","505972","485240","483939","510139","530340","518042","510209","510618","462735","467198","473852","489365","472248","465058","457039","455653","459599","459052","454592","423983","413590","407126","415541","421643",
"Japan","JP","Total","Abroad (equivalent count)","100301","119205","115782","125755","141723","162380","170982","176711","180508","167420","177117","186272","202352","200517","199099","198200","195409","199307","205422","209220","196635","191138","188313","186605","184474",
"Lao People's Democratic Republic","LA","Total","Total","","","","","","3","5","4","2","1","","","","1","3","3","5","5","2","","","","3","3","3",
"Lao People's Democratic Republic","LA","Total","Resident","","","","","","3","5","2","1","","","","","1","1","1","","3","1","","","","3","1","",
"Lao People's Democratic Republic","LA","Total","Abroad","","","1","","","","","2","1","1","","","","","2","2","5","2","1","1","8","","","2","3",
"Lao People's Democratic Republic","LA","Total","Total (equivalent count)","","","","","","3","5","4","2","1","","","","1","3","3","5","5","2","","","","3","3","3",
"Lao People's Democratic Republic","LA","Total","Abroad (equivalent count)","","","1","","","","","2","1","1","","","","","2","2","5","2","1","1","8","","","2","3",
"Malaysia","MY","Total","Total","324","426","485","725","916","918","1010","1156","1361","1781","1923","1917","1915","2167","2567","2282","1918","2099","2006","2044","1890","1766","1687","1639","1708",
"Malaysia","MY","Total","Resident","206","271","322","376","522","522","531","670","818","1234","1231","1076","1114","1199","1353","1272","1109","1166","1116","1071","989","883","820","843","841",
"Malaysia","MY","Total","Abroad","118","155","163","349","394","396","479","486","543","547","692","841","801","968","1214","1010","809","933","890","973","901","883","867","796","867",
"Malaysia","MY","Total","Total (equivalent count)","324","426","485","725","916","918","1010","1164","1377","1789","1923","1941","1943","2255","2615","2310","1923","2122","2018","2111","1895","1805","1694","1674","1743",
"Malaysia","MY","Total","Abroad (equivalent count)","118","155","163","349","394","396","479","494","559","555","692","865","829","1056","1262","1038","814","956","902","1040","906","922","874","831","902",
"Myanmar","MM","Total","Abroad","","","","","","","","3","","","1","","","","","","","3","","2","","2","2","","3",
"Myanmar","MM","Total","Abroad (equivalent count)","","","","","","","","3","","","1","","","","","","","3","","2","","2","2","","3",
"Philippines","PH","Total","Total","187","183","202","192","250","278","303","328","316","250","262","293","247","333","563","654","519","492","707","650","599","674","645","921","1064",
"Philippines","PH","Total","Resident","154","135","149","141","158","210","223","225","216","172","170","186","162","220","334","375","327","323","529","501","476","490","533","786","873",
"Philippines","PH","Total","Abroad","33","48","53","51","92","68","80","103","100","78","92","107","85","113","229","279","192","169","178","149","123","184","112","135","191",
"Philippines","PH","Total","Total (equivalent count)","187","183","202","192","250","278","303","328","316","250","262","293","282","338","589","716","534","492","707","650","599","674","645","931","1064",
"Philippines","PH","Total","Abroad (equivalent count)","33","48","53","51","92","68","80","103","100","78","92","107","120","118","255","341","207","169","178","149","123","184","112","145","191",
"Republic of Korea","KR","Total","Total","85823","88362","94809","112324","136041","162232","172558","175239","172750","169714","178011","187153","203180","222808","229840","237429","233091","225854","231095","248426","260527","267512","272600","288199","296041",
"Republic of Korea","KR","Total","Resident","72831","73714","76570","90313","105250","122188","125476","128701","127114","127316","131805","138034","148136","159978","164073","167275","163424","159084","162561","171603","180477","186245","183748","191142","195786",
"Republic of Korea","KR","Total","Abroad","12992","14648","18239","22011","30791","40044","47082","46538","45636","42398","46206","49119","55044","62830","65767","70154","69667","66770","68534","76823","80050","81267","88852","97057","100255",
"Republic of Korea","KR","Total","Total (equivalent count)","85883","88452","94869","112324","136118","162324","172622","175343","172814","169818","178115","187241","203392","223024","229990","237630","233347","226093","231407","248844","260977","267874","272960","288612","296379",
"Republic of Korea","KR","Total","Abroad (equivalent count)","13052","14738","18299","22011","30868","40136","47146","46642","45700","42502","46310","49207","55256","63046","65917","70355","69923","67009","68846","77241","80500","81629","89212","97470","100593",
"Singapore","SG","Total","Total","1262","1513","1629","1807","1974","1907","2397","3676","3748","3307","4261","4587","4762","5247","5761","6004","6483","6688","7121","7155","7681","9429","8327","9271","10333",
"Singapore","SG","Total","Resident","516","524","624","626","641","569","626","696","793","750","895","1056","1081","1143","1303","1469","1601","1609","1575","1727","1778","2024","1708","1621","1898",
"Singapore","SG","Total","Abroad","746","989","1005","1181","1333","1338","1771","2980","2955","2557","3366","3531","3681","4104","4458","4535","4882","5079","5546","5428","5903","7405","6619","7650","8435",
"Singapore","SG","Total","Total (equivalent count)","1262","1528","1644","1822","1974","1907","2397","3716","3772","3331","4285","4619","4891","5432","5846","6074","6539","6759","7236","7231","7748","9494","8355","9408","10443",
"Singapore","SG","Total","Abroad (equivalent count)","746","1004","1020","1196","1333","1338","1771","3020","2979","2581","3390","3563","3810","4289","4543","4605","4938","5150","5661","5504","5970","7470","6647","7787","8545",
"Thailand","TH","Total","Total","669","611","685","910","919","1000","1149","1127","1095","1180","1389","1133","1266","1868","1357","1347","1553","1580","1615","1709","1437","1510","1394","1306","1553",
"Thailand","TH","Total","Resident","561","534","615","802","819","891","1040","945","902","1025","1214","927","1020","1572","1006","1029","1098","979","904","865","863","867","772","752","930",
"Thailand","TH","Total","Abroad","108","77","70","108","100","109","109","182","193","155","175","206","246","296","351","318","455","601","711","844","574","643","622","554","623",
"Thailand","TH","Total","Total (equivalent count)","669","611","685","910","919","1000","1149","1127","1103","1180","1389","1133","1266","1868","1357","1347","1560","1585","1632","1721","1462","1510","1394","1322","1553",
"Thailand","TH","Total","Abroad (equivalent count)","108","77","70","108","100","109","109","182","201","155","175","206","246","296","351","318","462","606","728","856","599","643","622","570","623",
"Timor-Leste","TL","Total","Abroad","","","","","","","","","","","","","","","","","","","","","","10","","","",
"Timor-Leste","TL","Total","Abroad (equivalent count)","","","","","","","","","","","","","","","","","","","","","","10","","","",
"Viet Nam","VN","Total","Total","34","54","69","82","110","184","204","236","218","264","325","326","428","495","555","683","625","666","731","835","1132","1191","1055","1118","1392",
"Viet Nam","VN","Total","Resident","34","52","69","78","103","180","196","219","204","258","306","300","382","443","487","582","560","592","646","720","1021","1066","895","991","1226",
"Viet Nam","VN","Total","Abroad","","2","","4","7","4","8","17","14","6","19","26","46","52","68","101","65","74","85","115","111","125","160","127","166",
"Viet Nam","VN","Total","Total (equivalent count)","34","54","69","82","110","184","204","236","218","264","325","326","428","495","555","683","625","666","747","835","1132","1198","1055","1118","1392",
"Viet Nam","VN","Total","Abroad (equivalent count)","","2","","4","7","4","8","17","14","6","19","26","46","52","68","101","65","74","101","115","111","132","160","127","166",
