Intellectual property right :Patent

Indicator :10 - Resident applications per million population (by origin)

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Cambodia","KH","Total","","","","","","","","","","","","","","0.1","0.1","","0.2","","0.1","","","","","0.1","0.1",
"China","CN","Total","20.1","23.6","31.1","44.1","50.8","71.7","93.3","116.1","146.9","172.1","219.1","309.2","395.3","517.1","584","701.7","868.3","892.2","993.6","883.4","953","1011","1037.1","1079.1","1186.7",
"Indonesia","ID","Total","0.7","1","1.1","0.9","1","1","1.2","1.2","1.6","1.7","2.1","2.1","","2.6","2.7","4","4.2","8.5","5.2","11.4","4.8","5","5.6","6","6.8",
"Japan","JP","Total","3053.9","3041.8","2899","2804.5","2883.6","2879.8","2714.5","2605.4","2577.7","2306.3","2265","2249.7","2248.8","2132.1","2089.6","2035.8","2047.9","2050","2000.1","1937.7","1800.6","1770","1748.8","1838.6","1913",
"Lao People's Democratic Republic","LA","Total","","","","","","0.5","0.8","0.3","0.2","","","","","0.2","0.1","0.1","","0.4","0.1","","","","0.4","0.1","",
"Malaysia","MY","Total","9","11.5","13.4","15.2","20.7","20.2","20.1","24.8","29.7","43.9","43","36.9","37.6","39.7","44.1","40.7","34.9","36","33.9","32","29.2","25.8","23.6","24","23.7",
"Philippines","PH","Total","1.9","1.7","1.8","1.7","1.8","2.4","2.5","2.5","2.3","1.8","1.8","1.9","1.6","2.2","3.2","3.6","3.1","3","4.8","4.5","4.2","4.3","4.7","6.8","7.5",
"Republic of Korea","KR","Total","1549.3","1556.1","1607.1","1885.8","2188.9","2535.8","2590.4","2643.6","2591.3","2582.1","2659.8","2764.2","2950.9","3172.3","3233.2","3278.9","3190.8","3097.3","3151.3","3315.1","3481.7","3597.6","3556","3696.2","3783.2",
"Singapore","SG","Total","128.1","126.6","149.4","152.1","153.8","133.4","142.2","151.7","163.9","150.4","176.3","203.7","203.5","211.7","238.2","265.4","285.5","286.7","279.3","302.8","312.7","371.1","303","273.9","314.4",
"Thailand","TH","Total","8.9","8.4","9.6","12.4","12.5","13.5","15.6","14.1","13.3","15","17.7","13.4","14.7","22.5","14.3","14.6","15.5","13.8","12.7","12.1","12","12.1","10.8","10.5","13",
"Viet Nam","VN","Total","0.4","0.7","0.9","1","1.3","2.2","2.4","2.6","2.4","3","3.5","3.4","4.3","4.9","5.3","6.3","6","6.2","6.7","7.4","10.4","10.8","9","9.9","12.1",
