Intellectual property right :Patent

Indicator :13 - Deposits of microorganism (by origin)

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,IDA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"China","CN","Total","Total","","214","262","332","340","497","529","621","887","1120","1473","1775","2168","2593","2527","2700","2791","3014","3429","4114","4031","5720","6396","8505","10069",
"China","CN","Total","CCTCC","","68","57","121","139","200","195","255","358","400","515","635","781","967","932","1055","1057","1202","1280","1480","1289","2106","2564","3209","3464",
"China","CN","Total","CGMCC","","146","205","211","201","297","334","366","529","720","958","1140","1387","1626","1595","1645","1596","1640","1924","2227","2266","2853","2910","4168","5129",
"China","CN","Total","GDMCC","","","","","","","","","","","","","","","","","138","172","225","407","476","761","922","1128","1476",
"Japan","JP","Total","Total","","421","425","323","294","278","300","222","180","181","170","205","167","118","137","106","90","124","125","121","124","144","128","116","131",
"Japan","JP","Total","IPOD","","421","425","323","290","261","270","193","126","130","111","116","72","18","17","19","15","20","12","13","10","18","17","22","19",
"Japan","JP","Total","NPMD","","","","","4","17","30","29","54","51","59","89","95","100","120","87","75","104","113","108","114","126","111","94","112",
"Republic of Korea","KR","Total","Total","","398","382","282","285","245","288","304","282","270","358","380","342","373","374","422","432","560","644","547","630","796","638","708","717",
"Republic of Korea","KR","Total","KACC","","","","","","","","","","","","","","","","23","30","37","22","","","185","","","",
"Republic of Korea","KR","Total","KCCM","","113","109","94","89","96","94","80","67","80","101","87","99","159","148","145","160","233","234","225","272","177","212","138","89",
"Republic of Korea","KR","Total","KCLRF","","17","18","19","17","17","23","30","18","28","29","20","11","21","24","23","33","28","47","11","29","13","5","12","38",
"Republic of Korea","KR","Total","KCTC","","268","255","169","179","132","171","194","197","162","228","273","232","193","202","231","209","262","341","311","329","421","421","558","590",
