Intellectual property right :Patent

Indicator :1a- Direct applications

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,Type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Brunei Darussalam","BN","Total","Total","","2","3","1","","2","","10","2","2","","","26","26","37","","18","17","26","14","9","3","1","","3",
"Brunei Darussalam","BN","Total","Resident","","","","","","","","","","","","","20","20","26","","16","8","26","8","5","1","","","1",
"Brunei Darussalam","BN","Total","Abroad","","2","3","1","","2","","10","2","2","25","10","6","6","11","5","2","9","","6","4","2","1","1","2",
"Brunei Darussalam","BN","Total","Total (equivalent count)","","2","3","1","","2","","10","2","2","","","26","31","37","","18","17","26","14","9","3","1","","3",
"Brunei Darussalam","BN","Total","Abroad (equivalent count)","","2","3","1","","2","","10","2","2","33","10","6","11","11","5","2","9","","6","4","2","1","1","2",
"Cambodia","KH","Total","Total","","","","","","","","","1","1","1","1","","1","5","4","4","","2","","10","","10","8","11",
"Cambodia","KH","Total","Resident","","","","","","","","","","","","","","1","2","","3","","1","","","","","1","1",
"Cambodia","KH","Total","Abroad","1","","","","","","","","1","1","1","1","","","3","4","1","","1","","10","5","10","7","10",
"Cambodia","KH","Total","Total (equivalent count)","","","","","","","","","1","1","1","1","","1","5","4","4","","2","","10","","10","8","11",
"Cambodia","KH","Total","Abroad (equivalent count)","1","","","","","","","","1","1","1","1","","","3","4","1","","1","","10","5","10","7","10",
"China","CN","Total","Total","26264","31119","41148","58388","67946","96212","126888","157614","199917","234507","298757","421369","544207","715685","814414","983300","1224420","1272285","1425847","1281095","1391280","1480419","1519845","1576677","1730699",
"China","CN","Total","Resident","25261","29959","39671","56637","65586","93172","121968","152299","194005","228456","291959","413540","533245","702013","798074","965137","1200383","1245128","1393195","1242826","1344166","1426847","1463796","1521441","1671255",
"China","CN","Total","Abroad","1003","1160","1477","1751","2360","3040","4920","5315","5912","6051","6798","7829","10962","13672","16340","18163","24037","27157","32652","38269","47114","53572","56049","55236","59444",
"China","CN","Total","Total (equivalent count)","26264","31119","41148","58388","67954","96220","126918","157689","200022","234552","298773","421393","544298","715772","815753","983423","1224478","1272357","1426037","1281160","1391432","1480468","1520015","1576938","1730944",
