Intellectual property right :Patent

Indicator :1b- PCT national phase entries

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,Type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Brunei Darussalam","BN","Total","Total","","","","","","","","17","22","19","","","1","8","2","","3","1","1","9","1","2","","","",
"Brunei Darussalam","BN","Total","Resident","","","","","","","","","","","","","","","","","","","","","","1","","","",
"Brunei Darussalam","BN","Total","Abroad","","","","","","","","17","22","19","10","2","1","8","2","","3","1","1","9","1","1","","1","",
"Brunei Darussalam","BN","Total","Total (equivalent count)","","","","","","","","17","30","59","","","1","8","2","","3","1","1","9","1","2","","","",
"Brunei Darussalam","BN","Total","Abroad (equivalent count)","","","","","","","","17","30","59","18","2","1","8","2","","3","1","1","9","1","1","","1","",
"Cambodia","KH","Total","Total","","","","","","","","","","","1","1","","","","","2","","9","1","1","","10","15","",
"Cambodia","KH","Total","Abroad","","","","","","","","","","","1","1","","","","","2","","9","1","1","","10","15","",
"Cambodia","KH","Total","Total (equivalent count)","","","","","","","","","","","1","1","","","","","2","","9","1","1","","33","22","",
"Cambodia","KH","Total","Abroad (equivalent count)","","","","","","","","","","","1","1","","","","","2","","9","1","1","","33","22","",
"China","CN","Total","Total","289","311","484","599","1395","2079","2714","4002","4621","5118","7616","12877","16471","17259","21102","25858","31801","32132","32817","46085","48614","58271","64509","65966","66039",
"China","CN","Total","Resident","85","79","135","132","200","313","350","761","574","640","1107","2289","2068","2923","3061","3115","4598","581","620","742","651","998","809","851","746",
"China","CN","Total","Abroad","204","232","349","467","1195","1766","2364","3241","4047","4478","6509","10588","14403","14336","18041","22743","27203","31551","32197","45343","47963","57273","63700","65115","65293",
"China","CN","Total","Total (equivalent count)","304","326","514","599","1466","2235","2850","4130","4805","5246","7888","13205","16807","17967","21522","26589","32442","33150","33615","46971","49849","59299","66014","67454","67894",
"China","CN","Total","Abroad (equivalent count)","219","247","379","467","1266","1922","2500","3369","4231","4606","6781","10916","14739","15044","18461","23474","27844","32569","32995","46229","49198","58301","65205","66603","67148",
