Intellectual property right :Patent

Indicator :2 - Total patent grants (direct and PCT national phase entries)

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,Type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Brunei Darussalam","BN","Total","Total","","","","","","","","","2","6","","","","","","","","11","7","5","10","8","3","","",
"Brunei Darussalam","BN","Total","Resident","","","","","","","","","","","","","","","","","","6","6","2","","","1","","",
"Brunei Darussalam","BN","Total","Abroad","","","","","","","","","2","6","14","18","12","3","2","9","10","5","1","3","10","8","2","","",
"Brunei Darussalam","BN","Total","Total (equivalent count)","","","","","","","","","2","6","","","","","","","","11","7","5","10","8","3","","",
"Brunei Darussalam","BN","Total","Abroad (equivalent count)","","","","","","","","","2","6","22","18","20","3","2","9","10","5","1","3","10","8","2","","",
"Cambodia","KH","Total","Total","","","","","","","","","","","","","","","","","1","","1","2","2","","5","","5",
"Cambodia","KH","Total","Abroad","","","","","","","","","","","","","","","","","1","","1","2","2","3","5","5","5",
"Cambodia","KH","Total","Total (equivalent count)","","","","","","","","","","","","","","","","","1","","1","2","2","","5","","5",
"Cambodia","KH","Total","Abroad (equivalent count)","","","","","","","","","","","","","","","","","1","","1","2","2","3","5","21","5",
"China","CN","Total","Total","6415","5691","6301","11937","18943","21520","26292","33406","48815","68412","84685","118080","152021","154163","175973","278241","321911","352020","376509","398989","483948","639680","760175","888992","1014349",
"China","CN","Total","Resident","6177","5395","5868","11404","18241","20705","25077","31945","46590","65391","79767","112347","143808","143535","162680","263436","302136","326970","345959","360919","440691","585910","695591","819234","938174",
"China","CN","Total","Abroad","238","296","433","533","702","815","1215","1461","2225","3021","4918","5733","8213","10628","13293","14805","19775","25050","30550","38070","43257","53770","64584","69758","76175",
"China","CN","Total","Total (equivalent count)","6446","5722","6348","11984","18967","21575","26356","33502","48919","68500","84813","118128","152106","154472","176351","279509","322523","352576","377306","399862","485159","640348","760957","890378","1015639",
"China","CN","Total","Abroad (equivalent count)","269","327","480","580","726","870","1279","1557","2329","3109","5046","5781","8298","10937","13671","16073","20387","25606","31347","38943","44468","54438","65366","71144","77465",
"Indonesia","ID","Total","Total","","","","","","","","","84","","","","","","","","339","","552","714","665","756","1570","626","642",
"Indonesia","ID","Total","Resident","","","","","","","","","70","","","","","","","","292","","521","696","641","736","1547","608","620",
"Indonesia","ID","Total","Abroad","1","","","24","8","13","13","15","14","7","15","19","19","37","27","46","47","43","31","18","24","20","23","18","22",
"Indonesia","ID","Total","Total (equivalent count)","","","","","","","","","84","","","","","","","","339","","552","714","665","756","1570","626","642",
"Indonesia","ID","Total","Abroad (equivalent count)","1","","","24","8","13","13","15","14","7","15","19","19","37","27","46","47","43","31","18","24","20","23","18","22",
"Japan","JP","Total","Total","166784","167680","175381","182947","188575","187640","220002","234266","239943","255181","286462","304404","343012","339475","296160","269978","287727","283941","282050","282533","277983","277147","280533","284378","267957",
"Japan","JP","Total","Resident","112269","109375","108515","110835","112527","111088","126804","145040","151765","164459","187237","197594","224917","225571","177750","146749","160643","156844","152440","140865","140329","141853","155117","158587","146778",
"Japan","JP","Total","Abroad","54515","58305","66866","72112","76048","76552","93198","89226","88178","90722","99225","106810","118095","113904","118410","123229","127084","127097","129610","141668","137654","135294","125416","125791","121179",
"Japan","JP","Total","Total (equivalent count)","167099","168092","175650","183299","188775","187892","220178","235082","240695","255549","286846","304668","343584","340230","297040","271165","289251","286014","284068","283924","278937","278146","281608","285085","268595",
