Intellectual property right :Patent

Indicator :2a- Grant for direct applications

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,Type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Brunei Darussalam","BN","Total","Total","","","","","","","","","2","6","","","","","","","","11","6","3","7","1","3","","",
"Brunei Darussalam","BN","Total","Resident","","","","","","","","","","","","","","","","","","6","6","2","","","1","","",
"Brunei Darussalam","BN","Total","Abroad","","","","","","","","","2","6","4","6","5","2","1","8","7","5","","1","7","1","2","","",
"Brunei Darussalam","BN","Total","Total (equivalent count)","","","","","","","","","2","6","","","","","","","","11","6","3","7","1","3","","",
"Brunei Darussalam","BN","Total","Abroad (equivalent count)","","","","","","","","","2","6","4","6","5","2","1","8","7","5","","1","7","1","2","","",
"Cambodia","KH","Total","Total","","","","","","","","","","","","","","","","","1","","1","","1","","4","","5",
"Cambodia","KH","Total","Abroad","","","","","","","","","","","","","","","","","1","","1","","1","","4","2","5",
"Cambodia","KH","Total","Total (equivalent count)","","","","","","","","","","","","","","","","","1","","1","","1","","4","","5",
"Cambodia","KH","Total","Abroad (equivalent count)","","","","","","","","","","","","","","","","","1","","1","","1","","4","2","5",
"China","CN","Total","Total","6335","5594","6175","11719","18661","21167","25926","32906","48049","67432","82744","115401","148081","148158","167105","268335","308471","335115","355314","372460","455190","605317","722262","846326","965551",
"China","CN","Total","Resident","6168","5384","5868","11334","18123","20574","25077","31945","46590","65391","79767","111778","143131","142431","161240","261894","300300","324964","343500","356549","435068","579066","689144","812054","931249",
"China","CN","Total","Abroad","167","210","307","385","538","593","849","961","1459","2041","2977","3623","4950","5727","5865","6441","8171","10151","11814","15911","20122","26251","33118","34272","34302",
"China","CN","Total","Total (equivalent count)","6335","5594","6175","11719","18661","21175","25926","32914","48049","67440","82744","115401","148086","148197","167371","268349","308548","335180","355410","372539","455260","605352","722290","846465","965692",
"China","CN","Total","Abroad (equivalent count)","167","210","307","385","538","601","849","969","1459","2049","2977","3623","4955","5766","6131","6455","8248","10216","11910","15990","20192","26286","33146","34411","34443",
"Indonesia","ID","Total","Total","","","","","","","","","82","","","","","","","","321","","530","693","654","730","1525","562","585",
"Indonesia","ID","Total","Resident","","","","","","","","","70","","","","","","","","289","","514","682","639","718","1509","552","570",
"Indonesia","ID","Total","Abroad","1","","","16","5","10","4","12","12","6","11","12","15","24","15","21","32","24","16","11","15","12","16","10","15",
"Indonesia","ID","Total","Total (equivalent count)","","","","","","","","","82","","","","","","","","321","","530","693","654","730","1525","562","585",
"Indonesia","ID","Total","Abroad (equivalent count)","1","","","16","5","10","4","12","12","6","11","12","15","24","15","21","32","24","16","11","15","12","16","10","15",
"Japan","JP","Total","Total","160600","159946","165223","170898","174986","171105","202271","213548","218058","232207","254499","253654","279002","270655","227669","197289","205391","202547","197700","190850","184865","184553","189439","190435","175513",
"Japan","JP","Total","Resident","111700","108661","107741","109975","112527","109641","124531","141404","146807","158318","178504","185974","208305","204998","160591","130426","141349","138130","133282","121809","119064","121093","130789","132520","121970",
"Japan","JP","Total","Abroad","48900","51285","57482","60923","62459","61464","77740","72144","71251","73889","75995","67680","70697","65657","67078","66863","64042","64417","64418","69041","65801","63460","58650","57915","53543",
"Japan","JP","Total","Total (equivalent count)","160631","159954","165231","170914","175010","171121","202351","214124","218450","232263","254611","253694","279158","270908","228019","197662","205701","203654","198758","191382","185154","184660","189502","190533","175620",
"Japan","JP","Total","Abroad (equivalent count)","48931","51293","57490","60939","62483","61480","77820","72720","71643","73945","76107","67720","70853","65910","67428","67236","64352","65524","65476","69573","66090","63567","58713","58013","53650",
"Lao People's Democratic Republic","LA","Total","Total","","","","","","","","","","","","","","","","","","","","","","","2","","",
"Lao People's Democratic Republic","LA","Total","Abroad","","","","","","","","","","","","","","","","","","","","","","","2","","",
"Lao People's Democratic Republic","LA","Total","Total (equivalent count)","","","","","","","","","","","","","","","","","","","","","","","2","","",
"Lao People's Democratic Republic","LA","Total","Abroad (equivalent count)","","","","","","","","","","","","","","","","","","","","","","","2","","",
"Malaysia","MY","Total","Total","24","18","32","112","108","133","320","539","393","467","469","517","541","521","620","598","643","681","722","862","1411","1311","1025","918","910",
"Malaysia","MY","Total","Resident","24","18","32","31","24","37","187","338","198","270","200","309","288","271","332","335","348","412","449","536","1107","1023","713","634","647",
"Malaysia","MY","Total","Abroad","","","","81","84","96","133","201","195","197","269","208","253","250","288","263","295","269","273","326","304","288","312","284","263",
"Malaysia","MY","Total","Total (equivalent count)","24","18","32","112","108","133","320","539","393","467","469","517","541","537","657","598","653","691","732","872","1411","1311","1032","932","915",
"Malaysia","MY","Total","Abroad (equivalent count)","","","","81","84","96","133","201","195","197","269","208","253","266","325","263","305","279","283","336","304","288","319","298","268",
"Myanmar","MM","Total","Abroad","","","","","","","","1","","","1","","","","","","","","1","2","","2","","","4",
"Myanmar","MM","Total","Abroad (equivalent count)","","","","","","","","1","","","1","","","","","","","","1","2","","2","","","4",
"Philippines","PH","Total","Total","8","10","12","32","36","22","37","23","71","48","54","37","49","73","84","107","114","97","107","125","102","148","154","164","178",
"Philippines","PH","Total","Resident","8","10","12","7","16","4","5","2","41","22","13","6","11","29","26","28","50","20","32","46","27","50","72","74","127",
"Philippines","PH","Total","Abroad","","","","25","20","18","32","21","30","26","41","31","38","44","58","79","64","77","75","79","75","98","82","90","51",
"Philippines","PH","Total","Total (equivalent count)","8","10","12","32","36","22","37","23","71","48","54","37","49","73","84","117","119","97","112","125","102","148","154","164","178",
"Philippines","PH","Total","Abroad (equivalent count)","","","","25","20","18","32","21","30","26","41","31","38","44","58","89","69","77","80","79","75","98","82","90","51",
"Republic of Korea","KR","Total","Total","28960","27673","36102","38090","44021","62320","101296","104804","77386","61151","72189","91361","104145","115223","117740","98338","107306","117673","116627","123596","132321","137968","126491","131669","127974",
"Republic of Korea","KR","Total","Resident","22927","21806","30096","30463","35185","53302","89060","91498","60955","41948","51178","72002","83807","95410","96933","75887","81886","90154","88467","94146","102968","109263","98238","98176","94048",
"Republic of Korea","KR","Total","Abroad","6033","5867","6006","7627","8836","9018","12236","13306","16431","19203","21011","19359","20338","19813","20807","22451","25420","27519","28160","29450","29353","28705","28253","33493","33926",
"Republic of Korea","KR","Total","Total (equivalent count)","28968","27673","36102","38090","44021","62320","101296","104804","77386","61151","72197","91361","104178","115223","117814","98343","107306","117693","116673","123611","132338","137989","126491","131683","128028",
"Republic of Korea","KR","Total","Abroad (equivalent count)","6041","5867","6006","7627","8836","9018","12236","13306","16431","19203","21019","19359","20371","19813","20881","22456","25420","27539","28206","29465","29370","28726","28253","33507","33980",
"Singapore","SG","Total","Total","102","172","195","584","750","749","741","855","964","1050","1282","1238","1308","1261","1381","1479","1662","1712","1849","1910","2441","2276","1794","2277","2384",
