Intellectual property right :Patent

Indicator :2b- Grant for PCT national phase entries

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,Type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Brunei Darussalam","BN","Total","Total","","","","","","","","","","","","","","","","","","","1","2","3","7","","","",
"Brunei Darussalam","BN","Total","Abroad","","","","","","","","","","","10","12","7","1","1","1","3","","1","2","3","7","","","",
"Brunei Darussalam","BN","Total","Total (equivalent count)","","","","","","","","","","","","","","","","","","","1","2","3","7","","","",
"Brunei Darussalam","BN","Total","Abroad (equivalent count)","","","","","","","","","","","18","12","15","1","1","1","3","","1","2","3","7","","","",
"Cambodia","KH","Total","Total","","","","","","","","","","","","","","","","","","","","2","1","","1","","",
"Cambodia","KH","Total","Abroad","","","","","","","","","","","","","","","","","","","","2","1","3","1","3","",
"Cambodia","KH","Total","Total (equivalent count)","","","","","","","","","","","","","","","","","","","","2","1","","1","","",
"Cambodia","KH","Total","Abroad (equivalent count)","","","","","","","","","","","","","","","","","","","","2","1","3","1","19","",
"China","CN","Total","Total","80","97","126","218","282","353","366","500","766","980","1941","2679","3940","6005","8868","9906","13440","16905","21195","26529","28758","34363","37913","42666","48798",
"China","CN","Total","Resident","9","11","","70","118","131","","","","","","569","677","1104","1440","1542","1836","2006","2459","4370","5623","6844","6447","7180","6925",
"China","CN","Total","Abroad","71","86","126","148","164","222","366","500","766","980","1941","2110","3263","4901","7428","8364","11604","14899","18736","22159","23135","27519","31466","35486","41873",
"China","CN","Total","Total (equivalent count)","111","128","173","265","306","400","430","588","870","1060","2069","2727","4020","6275","8980","11160","13975","17396","21896","27323","29899","34996","38667","43913","49947",
"China","CN","Total","Abroad (equivalent count)","102","117","173","195","188","269","430","588","870","1060","2069","2158","3343","5171","7540","9618","12139","15390","19437","22953","24276","28152","32220","36733","43022",
"Indonesia","ID","Total","Total","","","","","","","","","2","","","","","","","","18","","22","21","11","26","45","64","57",
"Indonesia","ID","Total","Resident","","","","","","","","","","","","","","","","","3","","7","14","2","18","38","56","50",
"Indonesia","ID","Total","Abroad","","","","8","3","3","9","3","2","1","4","7","4","13","12","25","15","19","15","7","9","8","7","8","7",
"Indonesia","ID","Total","Total (equivalent count)","","","","","","","","","2","","","","","","","","18","","22","21","11","26","45","64","57",
"Indonesia","ID","Total","Abroad (equivalent count)","","","","8","3","3","9","3","2","1","4","7","4","13","12","25","15","19","15","7","9","8","7","8","7",
"Japan","JP","Total","Total","6184","7734","10158","12049","13589","16535","17731","20718","21885","22974","31963","50750","64010","68820","68491","72689","82336","81394","84350","91683","93118","92594","91094","93943","92444",
"Japan","JP","Total","Resident","569","714","774","860","","1447","2273","3636","4958","6141","8733","11620","16612","20573","17159","16323","19294","18714","19158","19056","21265","20760","24328","26067","24808",
"Japan","JP","Total","Abroad","5615","7020","9384","11189","13589","15088","15458","17082","16927","16833","23230","39130","47398","48247","51332","56366","63042","62680","65192","72627","71853","71834","66766","67876","67636",
"Japan","JP","Total","Total (equivalent count)","6468","8138","10419","12385","13765","16771","17827","20958","22245","23286","32235","50974","64426","69322","69021","73503","83550","82360","85310","92542","93783","93486","92106","94552","92975",
"Japan","JP","Total","Abroad (equivalent count)","5899","7424","9645","11525","13765","15324","15554","17322","17287","17145","23502","39354","47814","48749","51862","57180","64256","63646","66152","73486","72518","72726","67778","68485","68167",
"Lao People's Democratic Republic","LA","Total","Total","","","","","","","","","","","","","","","","","","","","","1","","2","","",
"Lao People's Democratic Republic","LA","Total","Abroad","","","","","","","","","","","","","","","","","","","","","1","2","2","","",
"Lao People's Democratic Republic","LA","Total","Total (equivalent count)","","","","","","","","","","","","","","","","","","","","","1","","2","","",
"Lao People's Democratic Republic","LA","Total","Abroad (equivalent count)","","","","","","","","","","","","","","","","","","","","","1","2","2","","",
"Malaysia","MY","Total","Total","1","","","15","3","9","14","32","32","31","40","76","119","167","199","246","282","237","237","276","269","256","312","210","242",
"Malaysia","MY","Total","Resident","","","","","","","","","","","","1","7","17","12","9","7","25","20","29","40","17","63","16","13",
"Malaysia","MY","Total","Abroad","1","","","15","3","9","14","32","32","31","40","75","112","150","187","237","275","212","217","247","229","239","249","194","229",
"Malaysia","MY","Total","Total (equivalent count)","16","","","23","3","9","14","32","32","31","48","76","119","183","199","317","289","260","253","290","306","272","319","226","272",
"Malaysia","MY","Total","Abroad (equivalent count)","16","","","23","3","9","14","32","32","31","48","75","112","166","187","308","282","235","233","261","266","255","256","210","259",
"Myanmar","MM","Total","Abroad","","","","","","","","","","","","","","","1","","","","","","","","","","",
"Myanmar","MM","Total","Abroad (equivalent count)","","","","","","","","","","","","","","","1","","","","","","","","","","",
"Philippines","PH","Total","Total","","","","1","1","","6","2","4","3","5","11","14","9","10","13","22","34","29","24","29","19","19","15","13",
"Philippines","PH","Total","Resident","","","","","","","","","","","","","","1","1","2","2","5","1","3","2","","","","2",
"Philippines","PH","Total","Abroad","","","","1","1","","6","2","4","3","5","11","14","8","9","11","20","29","28","21","27","19","19","15","11",
"Philippines","PH","Total","Total (equivalent count)","","","","1","1","","6","2","12","3","5","11","14","9","10","29","22","41","29","24","29","19","19","15","13",
"Philippines","PH","Total","Abroad (equivalent count)","","","","1","1","","6","2","12","3","5","11","14","8","9","27","20","36","28","21","27","19","19","15","11",
"Republic of Korea","KR","Total","Total","454","555","851","1251","1416","1629","1541","1773","2262","2605","3747","6293","7913","8521","9518","10674","13122","13794","15084","17790","18643","20241","21004","22992","26248",
"Republic of Korea","KR","Total","Resident","16","27","79","62","99","117","243","147","160","181","226","256","254","257","361","432","514","693","760","706","913","1088","964","1139","1117",
"Republic of Korea","KR","Total","Abroad","438","528","772","1189","1317","1512","1298","1626","2102","2424","3521","6037","7659","8264","9157","10242","12608","13101","14324","17084","17730","19153","20040","21853","25131",
"Republic of Korea","KR","Total","Total (equivalent count)","469","631","973","1298","1456","1714","1573","1813","2310","2653","3803","6341","7937","8618","9590","10769","13247","13905","15239","17934","18850","20516","21305","23335","26481",
"Republic of Korea","KR","Total","Abroad (equivalent count)","453","604","894","1236","1357","1597","1330","1666","2150","2472","3577","6085","7683","8361","9229","10337","12733","13212","14479","17228","17937","19428","20341","22196","25364",
"Singapore","SG","Total","Total","17","1","48","166","153","208","254","386","403","451","543","794","948","970","1059","1220","1310","1338","1466","1584","1587","1730","1722","1834","2225",
"Singapore","SG","Total","Resident","8","","48","40","80","138","147","195","186","214","185","243","226","213","151","212","224","243","178","129","158","206","134","180","308",
"Singapore","SG","Total","Abroad","9","1","","126","73","70","107","191","217","237","358","551","722","757","908","1008","1086","1095","1288","1455","1429","1524","1588","1654","1917",
"Singapore","SG","Total","Total (equivalent count)","152","16","48","174","168","208","254","410","443","459","559","802","956","977","1075","1236","1423","1389","1489","1653","1647","1751","1796","1885","2306",
"Singapore","SG","Total","Abroad (equivalent count)","144","16","","134","88","70","107","215","257","245","374","559","730","764","924","1024","1199","1146","1311","1524","1489","1545","1662","1705","1998",
"Thailand","TH","Total","Total","","","","9","2","3","","4","2","3","13","7","18","24","42","59","86","78","113","162","208","275","255","276","256",
"Thailand","TH","Total","Resident","","","","","","","","","","","","","","2","","","1","1","5","4","14","4","11","14","13",
"Thailand","TH","Total","Abroad","","","","9","2","3","","4","2","3","13","7","18","22","42","59","85","77","108","158","194","271","244","262","243",
"Thailand","TH","Total","Total (equivalent count)","","","","9","2","3","","4","2","3","21","7","18","24","42","59","86","78","113","169","208","282","255","276","272",
"Thailand","TH","Total","Abroad (equivalent count)","","","","9","2","3","","4","2","3","21","7","18","22","42","59","85","77","108","165","194","278","244","262","259",
"Viet Nam","VN","Total","Total","","","","1","1","1","","","","","","4","4","5","17","16","28","29","22","20","16","14","115","18","21",
"Viet Nam","VN","Total","Resident","","","","","","","","","","","","","2","","","1","5","2","2","","","","","1","3",
"Viet Nam","VN","Total","Abroad","","","","1","1","1","","","","","","4","2","5","17","15","23","27","20","20","16","14","115","17","18",
"Viet Nam","VN","Total","Total (equivalent count)","","","","1","1","1","","","","","","4","4","5","17","16","28","29","22","20","16","14","115","18","28",
"Viet Nam","VN","Total","Abroad (equivalent count)","","","","1","1","1","","","","","","4","2","5","17","15","23","27","20","20","16","14","115","17","25",
