Intellectual property right :Patent

Indicator :3 - Patents in force

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,Type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Brunei Darussalam","BN","Total","Total","","","","","","","","4","10","16","33","44","58","71","37","44","38","35","29","33","45","107","71","65","26",
"Brunei Darussalam","BN","Total","Resident","","","","","","","","","","","","","","22","","","","","","","","68","30","30","",
"Brunei Darussalam","BN","Total","Abroad","","","","","","","","4","10","16","33","44","58","49","37","44","38","35","29","33","45","39","41","35","26",
"Brunei Darussalam","BN","Total","Total (equivalent count)","","","","","","","","4","10","16","33","44","58","71","37","44","38","35","29","33","45","107","71","65","26",
"Brunei Darussalam","BN","Total","Abroad (equivalent count)","","","","","","","","4","10","16","33","44","58","49","37","44","38","35","29","33","45","39","41","35","26",
"Cambodia","KH","Total","Total","","","","","","","","1","1","1","","1","","","","","1","1","2","6","11","12","20","25","21",
"Cambodia","KH","Total","Abroad","","","","","","","","1","1","1","","1","","","","","1","1","2","6","11","12","20","25","21",
"Cambodia","KH","Total","Total (equivalent count)","","","","","","","","1","1","1","","1","","","","","1","1","2","6","11","12","20","41","37",
"Cambodia","KH","Total","Abroad (equivalent count)","","","","","","","","1","1","1","","1","","","","","1","1","2","6","11","12","20","41","37",
"China","CN","Total","Total","","","","","2346","59162","3749","100162","134348","189369","271335","367622","499044","622031","755269","981641","1236596","1519277","1813175","2141700","2544713","3085203","3760253","4577738","5293831",
"China","CN","Total","Resident","","","","","","56357","","95678","127596","180042","257893","351288","473187","586493","708690","921757","1158203","1413911","1662269","1926122","2279123","2773287","3351453","4088695","4756307",
"China","CN","Total","Abroad","","","","","2346","2805","3749","4484","6752","9327","13442","16334","25857","35538","46579","59884","78393","105366","150906","215578","265590","311916","408800","489043","537524",
