Intellectual property right :Patent

Indicator :4b- Patent publications by renewable energy

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,Field of technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Brunei Darussalam","BN","Total","Solar energy","","","","","","2","5","1","16","4","8","6","3","","3","1","","2","3","6","1","","","","",
"Brunei Darussalam","BN","Total","Fuel cells technology","","","","","","","","","","","","","","","1","","","","","","","","","","",
"Brunei Darussalam","BN","Total","Wind energy technology","","","","","","","","","","","","","","","","","1","","1","","","","","","",
"China","CN","Total","Solar energy","57","110","123","218","394","722","713","1124","1586","2200","2875","3539","4608","4861","5009","5908","7680","8765","13230","11541","11800","13054","14609","17078","19660",
"China","CN","Total","Fuel cells technology","13","16","37","65","97","175","214","248","308","270","341","385","558","700","722","910","996","1137","1356","1735","1579","1905","2436","2759","3053",
"China","CN","Total","Wind energy technology","15","28","25","45","40","114","176","302","479","670","799","1083","1371","1325","1172","1381","1461","1833","2793","2775","2967","3947","3967","4227","5055",
"China","CN","Total","Geothermal energy","4","6","12","27","27","24","24","19","28","43","46","46","51","70","57","75","137","175","288","310","327","362","342","353","402",
"China","CN","Total","Hydro energy","23","36","41","56","59","123","156","203","271","334","437","514","821","790","869","1205","1339","1359","1666","1826","1794","2193","2033","2183","2212",
"Indonesia","ID","Total","Solar energy","","","","","","","","","","","","","","","","","","","","","","1","","","",
"Indonesia","ID","Total","Wind energy technology","","","","","","","","","","1","","","","","1","1","","","","","1","","","","",
"Indonesia","ID","Total","Hydro energy","","","","","","","","","1","","","","","","1","1","2","","1","","","","","","",
"Japan","JP","Total","Solar energy","3589","4566","4167","3220","3651","4332","3787","3892","3999","4858","5748","6896","7732","7590","5837","4380","3651","3258","2609","2395","2134","2008","1630","1408","1475",
"Japan","JP","Total","Fuel cells technology","1277","1890","3173","3708","5317","6350","6083","6307","6081","6126","5379","3712","3882","3868","3478","3397","3275","2992","2974","2651","2211","2174","1838","1490","1414",
"Japan","JP","Total","Wind energy technology","117","159","232","332","326","492","367","367","344","412","552","864","953","852","631","578","530","544","410","359","296","284","338","346","390",
"Japan","JP","Total","Geothermal energy","20","27","31","80","50","57","52","59","32","57","59","116","73","87","99","94","87","67","55","53","40","34","34","33","34",
"Japan","JP","Total","Hydro energy","271","264","325","285","313","361","256","303","273","301","313","306","340","453","520","417","391","377","331","290","266","224","225","203","178",
"Lao People's Democratic Republic","LA","Total","Solar energy","","","","","","","","","","","","","","","","","","","","1","","","","","",
"Malaysia","MY","Total","Solar energy","","","1","2","4","2","","4","1","2","4","29","27","15","31","11","15","9","12","4","3","6","9","11","5",
"Malaysia","MY","Total","Fuel cells technology","","","","","6","2","1","","","1","","9","1","4","","","2","2","8","9","3","2","7","5","2",
"Malaysia","MY","Total","Wind energy technology","","","","","","","","","","","1","1","","4","2","3","2","3","3","4","2","3","4","6","2",
"Malaysia","MY","Total","Geothermal energy","","","","","","","","","","","","","","","","","1","","","","","","","","",
"Malaysia","MY","Total","Hydro energy","1","1","","","","","","","1","3","2","8","3","1","1","2","2","3","1","5","5","3","8","1","5",
"Philippines","PH","Total","Solar energy","","","","","","","","","","","","","1","","1","4","9","5","","1","3","3","2","3","2",
