Intellectual property right :Patent

Indicator :4c- Patent publications for AI-related technology

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Brunei Darussalam","BN","Total","1","","","","","","","","","","","","","","","","","1","","","","","","","",
"China","CN","Total","333","404","533","752","957","1347","1394","1703","1800","2393","2876","3861","5098","8063","10311","13396","16049","21391","19796","20051","20468","22820","24750","25924","26251",
"Indonesia","ID","Total","","1","","","","","1","1","1","1","","","1","","2","","1","1","2","","","","1","","",
"Japan","JP","Total","8661","10865","12267","11697","13530","14210","13118","12955","12484","12705","12914","13348","14269","14192","14469","15448","14611","14490","12723","12572","11992","11089","9622","8583","8301",
"Malaysia","MY","Total","","2","2","5","4","9","2","5","10","9","7","11","15","13","15","26","27","30","13","5","6","12","18","11","11",
"Myanmar","MM","Total","","","","","","","","","","","","","","","","","","","","","","1","","","",
"Philippines","PH","Total","","","","","","3","1","","","","2","1","2","","4","9","14","11","3","1","3","10","3","5","4",
"Republic of Korea","KR","Total","834","1047","1040","1215","1598","2095","2169","2832","3290","3131","4561","5528","5946","7216","9649","9797","9725","9114","7943","7345","8009","7744","7955","8332","9013",
"Singapore","SG","Total","21","29","73","111","127","196","169","209","187","138","201","156","176","183","246","441","370","418","389","311","332","315","242","286","346",
"Thailand","TH","Total","","","","","1","4","","","","1","1","1","2","3","8","4","4","3","9","14","25","9","3","3","",
"Viet Nam","VN","Total","","","","","","","","","1","1","","","","","1","","1","","","","1","3","2","4","",
