Intellectual property right :Patent

Indicator :5 - Patent grants by technology

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,Field of technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Brunei Darussalam","BN","Total","1 - Electrical machinery, apparatus, energy","","","","","","1","2","1","4","9","14","20","6","3","1","","","2","1","","1","","1","","",
"Brunei Darussalam","BN","Total","2 - Audio-visual technology","1","","","","","","","1","","","1","2","","","","1","","4","2","1","","","","","",
"Brunei Darussalam","BN","Total","4 - Digital communication","","","","","","","","","","","","","","","","1","","","","","1","","","","",
"Brunei Darussalam","BN","Total","5 - Basic communication processes","","","","","","","","","","","","","","","1","","","","","","","","","","",
"Brunei Darussalam","BN","Total","6 - Computer technology","1","","","","","","1","","","","","","","","","1","","","","","","","","","",
"Brunei Darussalam","BN","Total","7 - IT methods for management","","","","","","","","","","","","","","","1","","2","1","","","","","","","",
"Brunei Darussalam","BN","Total","8 - Semiconductors","","","","","","1","6","2","4","4","16","13","11","4","1","2","","","3","1","1","","1","","",
"Brunei Darussalam","BN","Total","9 - Optics","","","","","","","","","","","1","1","1","1","","1","1","","","","","","","","",
"Brunei Darussalam","BN","Total","10 - Measurement","","","","","","","","","","","","","","","","2","","1","3","","2","","","","",
"Brunei Darussalam","BN","Total","11 - Analysis of biological materials","","","","","","","","","","","","","","","","","","","","","1","","","","",
"Brunei Darussalam","BN","Total","13 - Medical technology","","","","","","","","","","","","","","","","","","","1","","1","","","","",
"Brunei Darussalam","BN","Total","15 - Biotechnology","","","","","","","","","","","","","","","","","","","","1","","1","","","",
"Brunei Darussalam","BN","Total","19 - Basic materials chemistry","","","","","","","","","","","","","","","","","","","","","1","","","","",
"Brunei Darussalam","BN","Total","20 - Materials, metallurgy","","","","","","","","","","","","","","","","","1","","","","1","","","","",
"Brunei Darussalam","BN","Total","21 - Surface technology, coating","","","","","","","","","","","","","","","","1","","","","","","","","","",
"Brunei Darussalam","BN","Total","22 - Micro-structural and nano-technology","","","","","","","","","","","","","","","","","","1","1","","1","","","","",
