Intellectual property right :Patent

Indicator :6b- Patent family by origin (based on the earliest grant year)

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Brunei Darussalam","BN","Total","1","","","","1","4","7","7","7","12","10","8","9","9","3","7","5","7","10","4","10","1","2","","",
"Cambodia","KH","Total","","","","","","","","","","","","","","1","","","","","","","1","3","1","","",
"China","CN","Total","5924","6584","5827","11378","18107","20152","25849","30643","44668","64574","70988","103241","139709","148000","159970","239027","297297","318626","339485","356093","436949","579573","696569","816002","932923",
"Indonesia","ID","Total","8","10","9","11","6","6","7","7","4","2","8","4","2","11","6","10","10","13","5","3","5","9","8","4","12",
"Japan","JP","Total","131397","129876","127967","133615","131977","129346","143103","159283","159084","168841","186014","206838","219032","222822","218061","162202","180790","165654","157588","152875","150341","143365","160462","149217","137392",
"Lao People's Democratic Republic","LA","Total","","","","","","","","","","","1","","2","1","","","2","","","","2","1","1","","",
"Malaysia","MY","Total","42","43","60","68","77","76","210","337","211","279","241","380","359","374","464","462","487","519","551","628","1313","1128","974","697","423",
"Myanmar","MM","Total","","","","","","","","","1","","","","","","1","","","","1","","","1","","","3",
"Philippines","PH","Total","2","4","9","4","1","7","3","7","3","7","10","5","13","14","35","42","41","26","36","37","18","28","37","31","48",
"Republic of Korea","KR","Total","27099","26472","32360","32615","36813","54596","89733","93422","65159","45201","54974","76073","88253","99575","103149","84468","90578","98394","95730","103065","109607","111528","98415","97475","95173",
"Singapore","SG","Total","208","330","318","352","314","294","520","630","604","687","804","835","1022","1073","1305","1392","1625","1589","1744","1690","1803","1776","1718","1754","1770",
"Thailand","TH","Total","13","17","20","16","19","15","22","22","27","24","39","43","25","57","49","45","48","55","83","106","98","88","82","96","97",
"Viet Nam","VN","Total","","","","","","3","","2","","1","","5","2","7","5","5","10","9","12","11","26","40","36","36","50",
