Intellectual property right :Patent

Indicator :7 - Foreign-oriented patent family by origin

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Brunei Darussalam","BN","Total","","2","3","3","10","29","9","13","5","17","16","8","6","7","14","3","17","11","3","2","1","2","","","",
"Cambodia","KH","Total","","","","","","","","","1","","","","","","","","1","","1","1","5","","","","",
"China","CN","Total","968","1319","1834","2387","3338","5596","6312","7835","8782","10249","11244","13352","16224","17511","19728","22761","25546","32081","38028","43953","48399","50957","55223","","",
"Indonesia","ID","Total","18","9","17","10","15","15","14","12","13","14","14","18","19","18","15","13","13","7","10","21","17","7","13","","",
"Japan","JP","Total","61374","59897","62349","66065","71790","73054","73175","71966","68112","65675","73836","76382","74675","72605","72719","72388","74240","77600","78578","75575","70859","73639","69445","","",
"Lao People's Democratic Republic","LA","Total","","","","","","","","2","","4","","6","1","","","1","1","","2","","1","","","","",
"Malaysia","MY","Total","97","79","121","158","160","165","146","154","158","224","185","187","187","221","257","172","164","188","164","199","186","190","156","","",
"Myanmar","MM","Total","","","","","","","1","","1","","","","","","","","1","1","","2","","2","1","","",
"Philippines","PH","Total","23","16","21","15","23","36","24","26","18","13","27","32","37","45","33","35","19","26","22","24","22","25","16","","",
"Republic of Korea","KR","Total","7178","8533","10650","14415","18472","21339","21010","20616","18888","19245","21809","21808","24133","27886","28992","28492","26762","25925","28226","31349","33143","35287","36843","","",
"Singapore","SG","Total","580","629","646","829","1026","1182","1252","1119","1356","1304","1456","1671","1831","2035","2196","2160","2202","2207","2553","2652","2760","2969","2789","","",
"Thailand","TH","Total","47","32","53","62","57","61","60","83","62","59","62","65","68","73","107","136","150","124","167","153","142","170","124","","",
"Viet Nam","VN","Total","","","1","3","4","7","6","7","2","9","11","7","13","13","18","24","36","30","44","52","78","76","72","","",
