Intellectual property right :Patent

Indicator :8 - Foreign-oriented patent family by origin and destination office

Source: WIPO statistics database. Last updated: May 2026

Office,Office (Code),Origin,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Brunei Darussalam","BN","Brunei Darussalam","","","","","","","","","","","","","2","3","2","","6","1","1","1","","","","","",
"Brunei Darussalam","BN","China","","","","1","","","","","","","","","","","","1","","","","","","","","","",
"Brunei Darussalam","BN","Japan","","2","1","2","3","4","5","1","","1","","1","4","5","3","2","1","","","","","","","","",
"Brunei Darussalam","BN","Malaysia","","","","","","","","","","","","","1","1","","2","","","","","","","","","",
"Brunei Darussalam","BN","Philippines","","","","","","","","","","","2","2","","","","","","","","","","","","","",
"Brunei Darussalam","BN","Singapore","","","1","","","1","","","2","1","1","3","1","2","5","1","1","","","","","","","","",
"Cambodia","KH","Japan","","","","","","","","","","","","","","","","","1","","","","","","","","",
"China","CN","Brunei Darussalam","","","","1","4","13","11","5","1","4","8","3","2","7","4","1","5","9","1","","","1","1","","",
"China","CN","China","658","885","1293","1828","2834","5012","5481","6859","7879","9694","10613","13096","15913","17640","19713","23317","25836","32389","36814","44277","48807","50237","53017","","",
"China","CN","Indonesia","9","5","8","3","8","5","4","8","6","5","6","6","5","1","2","4","4","2","2","1","4","","3","","",
"China","CN","Japan","16457","21603","27900","33608","36461","36217","35351","35447","33860","37401","45982","48588","47231","44367","43449","44677","47626","52558","53073","51796","48953","50512","47096","","",
"China","CN","Cambodia","","","","","","","","","","","","","","","","","","","","","5","","","","",
"China","CN","Republic of Korea","2635","3528","5434","7826","10253","11108","9701","8459","7106","7913","9467","9906","11826","13192","14149","14937","15387","16496","18926","18713","20076","24472","29232","","",
"China","CN","Lao People's Democratic Republic","","","","","","","","","","1","","3","","","","","","","","","","","","","",
"China","CN","Myanmar","","","","","","","","","1","","","","","","","","","","","","","","","","",
"China","CN","Malaysia","21","14","27","46","35","68","52","68","71","102","66","78","81","87","117","110","63","115","97","125","139","122","142","","",
"China","CN","Philippines","4","1","5","7","2","5","3","5","3","2","11","13","12","9","14","13","9","15","10","13","9","10","7","","",
"China","CN","Singapore","91","89","126","191","304","358","344","297","343","490","648","805","1034","989","1001","1288","1579","2067","2772","2257","2805","2652","2370","","",
"China","CN","Thailand","5","16","15","28","16","11","22","28","14","24","23","27","27","21","64","81","95","81","99","110","82","118","84","","",
"China","CN","Viet Nam","","","","","","5","","1","1","4","4","4","5","4","6","3","6","1","10","6","13","11","12","","",
"Indonesia","ID","China","15","1","","","","","","8","18","24","7","35","261","297","179","64","76","11","","2","","2","","","",
"Indonesia","ID","Indonesia","4","2","2","2","1","5","1","5","6","9","4","6","6","4","4","6","8","2","5","11","10","3","3","","",
"Indonesia","ID","Japan","76","3","","3","2","1","4","74","187","177","45","227","1708","2038","782","246","281","27","1","1","","","","","",
"Indonesia","ID","Republic of Korea","8","1","","1","1","1","2","16","26","37","27","36","171","266","120","44","63","14","2","2","2","4","","","",
"Indonesia","ID","Malaysia","2","","1","","","","","","3","6","1","11","34","27","7","1","4","","","","","","","","",
"Indonesia","ID","Philippines","","","","","","","","","","","","2","","5","3","2","1","","","","","","","","",
"Indonesia","ID","Singapore","1","","","2","","1","1","8","5","3","1","1","45","46","15","9","4","","3","","","","","","",
"Indonesia","ID","Thailand","","","","","","1","","","","","1","","11","4","6","6","2","","","","","","","","",
"Indonesia","ID","Viet Nam","","","","","","","","","","","","1","3","1","","","","","","","","","","","",
"Japan","JP","Brunei Darussalam","","","","","3","10","","","","2","2","1","","","","","1","","","","","","","","",
"Japan","JP","China","243","320","463","558","754","1075","1186","1314","1495","2157","2305","2465","2994","3460","4564","5154","5776","7295","8832","11547","11960","10793","11641","","",
"Japan","JP","Indonesia","4","6","7","","7","1","2","1","2","3","3","4","2","4","2","3","1","1","","2","3","","1","","",
"Japan","JP","Japan","58309","56786","59430","62925","68437","69169","68525","68143","64389","62440","70262","72244","70742","68707","68700","68364","70379","73224","74001","71406","66664","68522","64151","","",
"Japan","JP","Cambodia","","","","","","","","","1","","","","","","","","","","","","2","","","","",
"Japan","JP","Republic of Korea","4095","4666","5556","7073","8219","8642","7238","6034","5209","5297","6007","5821","6316","5975","5442","5226","5346","6016","6027","6304","7138","7799","7791","","",
"Japan","JP","Lao People's Democratic Republic","","","","","","","","","","1","","2","","","","","","","","","","","","","",
"Japan","JP","Myanmar","","","","","","","","","1","","","","","","","","","","","","","","","","",
"Japan","JP","Malaysia","19","8","24","30","23","37","24","30","30","41","30","25","28","22","41","23","30","25","32","41","32","18","26","","",
"Japan","JP","Philippines","10","4","1","2","3","7","4","5","3","1","10","9","16","14","9","6","3","1","4","5","2","4","2","","",
"Japan","JP","Singapore","87","128","147","228","310","379","314","210","259","259","244","221","242","269","407","373","425","552","646","647","472","562","412","","",
"Japan","JP","Thailand","4","4","7","6","9","11","8","11","10","17","14","16","16","23","59","64","79","57","88","84","74","90","50","","",
"Japan","JP","Viet Nam","","","","","","1","","1","","4","2","6","3","3","3","3","18","3","9","9","4","1","1","","",
"Malaysia","MY","Brunei Darussalam","","1","","","","1","","","","1","","","","","","","","","","","","","","","",
"Malaysia","MY","China","53","48","36","48","50","67","85","118","83","99","164","162","218","209","286","374","454","357","192","114","28","17","14","","",
"Malaysia","MY","Indonesia","2","","2","","1","1","1","3","2","2","1","1","","2","1","1","","","2","3","2","","","","",
"Malaysia","MY","Japan","1090","787","772","724","776","670","717","869","867","853","1113","1268","1359","1191","1228","1309","1184","876","513","346","84","23","6","","",
"Malaysia","MY","Republic of Korea","63","69","123","151","101","74","94","151","146","156","151","142","135","150","157","208","168","149","84","49","22","2","4","","",
