Intellectual property right :Patent

Indicator :9 - Resident applications per 100 billion USD GDP (2017 PPP) (by origin)

Source: WIPO statistics database. Last updated: May 2026

Origin,Origin (Code),Office,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Brunei Darussalam","BN","Total","","","","","","","","","","","","","55","56.2","74.9","","47.4","23.4","76","22.5","13.9","5.7","","","2.7",
"Cambodia","KH","Total","","","","","","","","","","","","","","1.5","2.8","","3.6","","1","","","","","0.9","0.8",
"China","CN","Total","493.7","540.2","655.3","848.6","893","1138.5","1322.1","1449.3","1679.9","1808","2091.2","2710.7","3235.4","3953.1","4180.6","4723.1","5504.9","5324.1","5580","4693.7","4959.8","4850.3","4824","4756.4","4976.5",
"Indonesia","ID","Total","12","15.6","16.5","13.5","14.6","14.3","16.6","15.4","19.7","20.2","23.3","23","","25.6","25.8","37.1","36.8","72.2","42.5","89","38.4","39.6","41.7","43.1","47.1",
"Japan","JP","Total","7829.3","7787.2","7435.5","7099.7","7146.2","7010.9","6523.2","6176.6","6189.7","5871.5","5540.4","5491.3","5406.2","5017.7","4896.6","4692.3","4682.5","4606.2","4459.6","4331.8","4188.2","3990.4","3888.5","4009.3","4149.1",
"Lao People's Democratic Republic","LA","Total","","","","","","14.1","21.6","8","3.7","","","","","2.5","2.4","2.2","","5.8","1.8","","","","4.9","1.6","",
"Malaysia","MY","Total","48.4","63.3","71.4","78.8","102.5","97.3","93.7","111.3","129.6","198.5","184.3","153","150.2","154.4","164.4","147","122.7","121.9","111.3","102.3","99.9","86.4","73.6","73","69.3",
"Philippines","PH","Total","40.8","34.7","36.9","33.3","35","44.3","44.7","42.3","38.9","30.5","28.1","29.6","24.1","30.7","43.8","46.3","37.7","34.8","53.6","47.8","50.2","48.9","49.5","69.1","72.6",
"Republic of Korea","KR","Total","5867.7","5670.9","5467.2","6256.1","6931.5","7711","7523.8","7291.3","6991.3","6945.5","6721.1","6788.4","7104.2","7427.7","7380.5","7311.1","6923.2","6515.6","6453.1","6657.9","7051.6","6956.1","6680.6","6841.2","6869.7",
"Singapore","SG","Total","187.5","192.5","220.6","211.7","197.1","163","164.5","167.8","187.6","177.2","184.7","205.2","201.1","202.9","222.5","243.6","255.9","246.1","232.9","252.1","269.8","279.9","226.8","211.4","237.2",
"Thailand","TH","Total","76.6","70.5","76.5","93","89.4","93.3","103.8","89.5","83.9","96","105.8","80.1","82.2","123.4","78.2","77.5","80","68.5","60.7","56.8","60.4","59.7","51.8","49.5","59.7",
"Viet Nam","VN","Total","10.1","14.6","18.2","19.3","23.6","38.4","39.1","40.8","36","43.2","48.1","44.3","53.5","58.8","60.7","67.8","61.1","60.4","61.4","63.7","87.8","89.4","69.2","72.9","84.2",
